,quadrat,year,aream2,areakm2,near_palm,near_river,near_road,POINT_X,POINT_Y
41,165.0,2012.0,342627.7200010543,0.3426277200010543,484.1777777777778,17452.88888888889,1354.1333333333334,526264.7524161111,9047480.468098443
42,165.0,2013.0,271800.0000004296,0.2718000000004296,389.8787878787879,17809.878787878788,1236.030303030303,525901.2456217576,9047655.960251817
43,165.0,2014.0,114161.76000120118,0.11416176000120118,561.48,17774.92,1164.28,526028.7041486,9047713.55257
44,165.0,2015.0,223234.79999909212,0.22323479999909213,269.04347826086956,17689.739130434784,983.304347826087,526386.8880576086,9047887.557453478
45,166.0,2001.0,14734.799999105646,0.014734799999105645,25429.0,13994.25,4885.25,532119.25,9047115.0
46,166.0,2002.0,13813.860000070754,0.013813860000070753,21894.0,15175.0,2918.0,528054.25,9046061.25
47,166.0,2003.0,236041.72303697138,0.23604172303697138,23252.767441860466,15691.697674418605,3095.3023255813955,530091.4873860464,9047971.39411558
48,166.0,2004.0,33785.543999060865,0.03378554399906086,22859.571428571428,15251.714285714286,3241.0,529322.5357142857,9046932.0
49,166.0,2005.0,659700.0000025809,0.6597000000025809,22879.16,16157.28,2482.88,529833.67554524,9048351.6065988
50,166.0,2006.0,18900.000000312575,0.018900000000312576,3726.4285714285716,15837.57142857143,2800.5714285714284,529526.4693877143,9047777.44898
51,166.0,2007.0,8828.316000160718,0.008828316000160718,689.5,13847.0,4609.0,530722.642857,9046167.857145
52,166.0,2008.0,111888.72000042666,0.11188872000042667,2294.4814814814813,15272.222222222223,3463.4444444444443,530684.2163277037,9047782.078175925
53,166.0,2009.0,186565.06800176977,0.18656506800176978,2016.909090909091,16484.31818181818,2310.5,529765.3657833637,9048673.133442273
54,166.0,2010.0,57600.00000057102,0.057600000000571014,2105.190476190476,16063.857142857143,2826.2380952380954,530004.3095238095,9048339.65986381
55,166.0,2011.0,130499.99999693362,0.13049999999693362,635.3684210526316,15855.631578947368,2850.2631578947367,529727.3957358947,9047944.734536842
56,166.0,2012.0,297000.0000021653,0.2970000000021653,461.6279069767442,15331.279069767443,3341.6976744186045,529957.6078506511,9047459.738028605
57,166.0,2013.0,684071.0880004542,0.6840710880004542,419.95454545454544,15278.09090909091,3265.7272727272725,529954.357256,9047420.501615454
58,166.0,2014.0,528417.1680030472,0.5284171680030473,349.5673076923077,15817.221153846154,2767.9134615384614,529548.7248048558,9047775.388702692
59,166.0,2015.0,362192.1599993997,0.3621921599993997,439.8636363636364,16082.681818181818,2367.2272727272725,529265.0369515909,9047958.472504545
60,167.0,2001.0,16765.19999983614,0.01676519999983614,26348.0,12910.0,5854.0,532918.0,9046320.0
61,167.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,167.0,2003.0,158400.00000077183,0.15840000000077184,28318.2,11830.4,7035.6,535049.5455026,9046327.679736
63,167.0,2004.0,1799.9999999685679,0.0017999999999685678,26387.0,13049.0,5841.0,532888.0,9046395.0
64,167.0,2005.0,132680.8799999396,0.1326808799999396,29951.21875,11350.4375,8120.09375,536708.924879,9046790.19091375
65,167.0,2006.0,37026.959998531966,0.037026959998531964,5376.0,10432.333333333334,9014.166666666666,537547.5416666666,9046281.583333334
66,167.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,167.0,2008.0,42530.400000860674,0.042530400000860676,3610.5,12239.5,6919.0,535135.980769,9046935.576925
68,167.0,2009.0,292039.59600040567,0.2920395960004057,2657.6,13116.0,5638.4,533774.3326298001,9047050.968922
69,167.0,2010.0,32400.000000984874,0.03240000000098488,938.0,11846.0,7036.0,535048.0,9046395.0
70,167.0,2011.0,21599.999999724096,0.021599999999724097,1270.75,11733.75,7285.25,535341.25,9046349.25
71,167.0,2012.0,93599.999999071,0.09359999999907101,1320.6666666666667,13431.5,5620.833333333333,534348.2278795,9047721.033835
72,167.0,2013.0,4500.00000024098,0.00450000000024098,1395.0,14430.5,4670.5,533739.25,9048495.0
73,167.0,2014.0,288992.1600008328,0.28899216000083283,1710.0714285714287,12906.357142857143,6266.357142857143,534819.961511,9047461.977366429
74,167.0,2015.0,267773.0400020478,0.26777304000204777,1072.909090909091,13130.545454545454,6020.090909090909,534961.1224805454,9047846.962400908
75,183.0,2001.0,40499.99999977648,0.040499999999776486,17130.428571428572,23340.714285714286,2489.5714285714284,525143.3139717142,9053899.474097144
76,183.0,2002.0,32399.999999483116,0.03239999999948311,19033.777777777777,22361.555555555555,2837.222222222222,527108.6666666666,9053953.666666666
77,183.0,2003.0,7638.415036445588,0.007638415036445588,18565.428571428572,21673.85714285714,2117.4285714285716,526397.2857142857,9052703.57142857
78,183.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,183.0,2005.0,84599.99999994936,0.08459999999994935,17392.444444444445,23225.555555555555,2934.3888888888887,525461.6838624445,9053972.870370556
80,183.0,2006.0,51680.8800024317,0.0516808800024317,9997.625,22250.25,2818.4375,526933.3448275625,9053716.239224374
81,183.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,183.0,2008.0,23399.999999848078,0.023399999999848077,3784.0,22501.333333333332,3173.0,525920.5,9053436.666666666
83,183.0,2009.0,122953.92000152126,0.12295392000152125,2532.4814814814813,21866.88888888889,2638.259259259259,526317.746732037,9052926.919934815
84,183.0,2010.0,9900.000000020955,0.009900000000020955,2068.0,20052.0,932.0,527505.727273,9051574.09091
85,183.0,2011.0,65700.00000181783,0.06570000000181783,2010.5833333333333,22564.5,3122.75,526230.0486110833,9053674.627975835
86,183.0,2012.0,363461.7599980229,0.36346175999802294,2332.3611111111113,22496.38888888889,3005.9444444444443,526064.7613673334,9053499.826849166
87,183.0,2013.0,51299.99999936612,0.05129999999936612,2266.9166666666665,22377.833333333332,2948.25,526414.1383928334,9053557.2991075
88,183.0,2014.0,87299.99999930675,0.08729999999930675,2282.5454545454545,22266.909090909092,2981.4545454545455,526346.9703856363,9053406.298209999
89,183.0,2015.0,68399.99999942724,0.06839999999942724,438.625,22619.5,3100.375,526415.9918521249,9053847.8239275
90,184.0,2001.0,54000.00000008382,0.05400000000008382,20991.714285714286,20694.571428571428,953.5714285714286,528952.5238095714,9053083.809524287
91,184.0,2002.0,57600.000000057626,0.057600000000057626,21449.384615384617,21651.69230769231,1529.7692307692307,529601.5384615385,9054526.91716
92,184.0,2003.0,64004.35696449638,0.06400435696449638,21141.526315789473,21098.36842105263,1212.157894736842,529176.5,9053634.421052631
93,184.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,184.0,2005.0,143099.99999901163,0.14309999999901163,20838.870967741936,21113.935483870966,1200.7096774193549,528847.2657721613,9053468.154176774
95,184.0,2006.0,150819.12000023655,0.15081912000023656,9481.310344827587,21608.51724137931,1708.8275862068965,528854.6985642414,9054025.795657242
96,184.0,2007.0,8100.000000048894,0.008100000000048894,6932.333333333333,20619.333333333332,265.3333333333333,531580.5,9054550.0
97,184.0,2008.0,49499.999999622814,0.04949999999962281,2447.266666666667,21520.866666666665,1571.4,529085.5857142668,9054056.828571333
98,184.0,2009.0,146688.85200034096,0.14668885200034096,2842.6875,20002.96875,739.9375,528742.5826478126,9052159.554976251
99,184.0,2010.0,262799.99999825726,0.26279999999825726,1942.3333333333333,20368.88888888889,694.4444444444445,531690.5,9054375.0
100,184.0,2011.0,3599.999999870779,0.003599999999870779,665.5,22287.0,1487.5,529258.0,9055005.0
101,184.0,2012.0,408937.50496145675,0.40893750496145675,1569.5,21350.375,1471.4583333333333,529666.6046573751,9054274.206587916
102,184.0,2013.0,680257.6919999726,0.6802576919999725,1589.7954545454545,20992.727272727272,1104.0227272727273,530602.1101054773,9054400.92300909
103,184.0,2014.0,756911.1479970546,0.7569111479970546,1589.974358974359,20940.46153846154,1018.8974358974359,530988.0876982565,9054604.496798974
104,184.0,2015.0,528357.2280009127,0.5283572280009127,272.42857142857144,21592.928571428572,1066.357142857143,530492.2857142857,9055095.714285715
105,202.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,202.0,2002.0,17999.999999465654,0.017999999999465655,17819.571428571428,25695.14285714286,3460.285714285714,526195.0,9058408.285714285
107,202.0,2003.0,19800.000000085565,0.019800000000085565,18399.0,24273.0,3784.0,526822.1666665,9058280.833335001
108,202.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,202.0,2005.0,31326.959999493192,0.03132695999949319,17250.363636363636,24968.090909090908,2960.7272727272725,525679.6083916363,9058772.232767273
110,202.0,2006.0,7199.999999678694,0.0071999999996786935,15540.4,24992.8,3916.2,525421.0,9059004.0
111,202.0,2007.0,1800.000000190339,0.001800000000190339,0.0,25509.0,4730.0,527713.0,9060420.0
112,202.0,2008.0,139499.99999913212,0.13949999999913212,1134.3333333333333,25758.666666666668,3624.5,526546.076564,9058612.43931
113,202.0,2009.0,9726.9600005541,0.0097269600005541,799.7142857142857,25131.571428571428,3786.8571428571427,526288.0,9059603.57142857
114,202.0,2010.0,11700.000000251457,0.011700000000251457,210.5,25271.25,4928.75,526891.0,9060007.5
115,202.0,2011.0,2699.999999870779,0.002699999999870779,47.5,25048.0,4939.5,527113.0,9060517.5
